Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
588069,"Equity Markets in Action: The Fundamentals of Liquidity, Market Structure & Trading + CD",Robert A. Schwartz,"Schwartz, Robert A.",Reto Francioni,"=""047146922X""","=""9780471469223""",0,3.20,John Wiley & Sons Inc,Hardcover,468,2004,2004,,2023/12/16,to-read,to-read (#13),to-read,,,,0,0
60965575,"Someday Is Today: 22 Simple, Actionable Ways to Propel Your Creative Life",Matthew Dicks,"Dicks, Matthew","Matthew Shepard, Elysha Dicks","=""1608687503""","=""9781608687503""",0,3.87,New World Library,Paperback,344,2022,,,2023/12/16,to-read,to-read (#12),to-read,,,,0,0
29358555,The Man Who Knew: The Life and Times of Alan Greenspan,Sebastian Mallaby,"Mallaby, Sebastian",,"=""1594204845""","=""9781594204845""",0,4.32,Penguin Press,Hardcover,800,2016,2016,,2023/12/16,to-read,to-read (#11),to-read,,,,0,0
43306206,The Courage to Be Disliked: A single book can change your life,Ichiro Kishimi,"Kishimi, Ichiro",Fumitake Koga,"=""""","=""""",0,3.93,Allen & Unwin,Paperback,288,2019,2013,,2023/12/16,to-read,to-read (#10),to-read,,,,0,0
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""1455586692""","=""9781455586691""",0,4.16,Grand Central Publishing,Hardcover,296,2016,2016,,2023/12/16,to-read,to-read (#9),to-read,,,,0,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",0,4.50,Ballantine Books,Hardcover,496,2021,2021,,2023/12/16,to-read,to-read (#8),to-read,,,,0,0
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",0,4.42,Ballantine Books,Hardcover,384,2014,2011,,2023/12/16,to-read,to-read (#7),to-read,,,,0,0
203409,Security Analysis: The Classic 1951 Edition,Benjamin Graham,"Graham, Benjamin",,"=""0071448209""","=""9780071448208""",0,4.30,McGraw Hill,Hardcover,784,2004,1934,,2023/12/16,to-read,to-read (#6),to-read,,,,0,0
7155145,Linchpin: Are You Indispensable?,Seth Godin,"Godin, Seth",,"=""1591843162""","=""9781591843160""",0,3.83,Portfolio,Hardcover,244,2010,2010,,2023/12/16,to-read,to-read (#5),to-read,,,,0,0
32025338,Memoirs of Extraordinary Popular Delusions and the Madness of Crowds (Illustrated): Volume I,Charles Mackay,"Mackay, Charles",,"=""""","=""""",0,3.67,,Kindle Edition,630,2014,1841,,2023/12/16,to-read,to-read (#4),to-read,,,,0,0
10669,When Genius Failed: The Rise and Fall of Long-Term Capital Management,Roger Lowenstein,"Lowenstein, Roger",,"=""0375758259""","=""9780375758256""",0,4.20,Random House Trade Paperbacks,Paperback,264,2001,2000,,2023/12/16,to-read,to-read (#3),to-read,,,,0,0
166054238,Stocks for the Long Run 5/E: The Definitive Guide to Financial Market Returns & Long-Term Investment Strategies by Jeremy J. Siegel(2014-01-07),Jeremy J. Siegel,"Siegel, Jeremy J.",,"=""""","=""""",0,4.14,McGraw-Hill Education,Unknown Binding,0,,1994,,2023/12/16,to-read,to-read (#2),to-read,,,,0,0
55189231,The Art and Business of Online Writing: How to Beat the Game of Capturing and Keeping Attention,Nicolas Cole,"Cole, Nicolas",,"=""0998203483""","=""9780998203485""",0,4.40,Nicolas Cole,Kindle Edition,340,2020,,,2023/12/16,to-read,to-read (#1),to-read,,,,0,0
59961663,"The Eminence in Shadow (Light Novel), Volume 4",Daisuke Aizawa,"Aizawa, Daisuke",Nathaniel Thrasher,"=""""","=""""",0,4.49,Yen On,Kindle Edition,295,2022,2021,,2023/12/16,,,read,,,,1,0
48737221,"The Eminence in Shadow (Light Novel), Volume 2",Daisuke Aizawa,"Aizawa, Daisuke",Nathaniel Thrasher,"=""""","=""""",0,4.41,Yen On,Kindle Edition,293,2020,2019,,2023/12/16,,,read,,,,1,0
56870162,"The Eminence in Shadow (Light Novel), Volume 3",Daisuke Aizawa,"Aizawa, Daisuke",Nathaniel Thrasher,"=""""","=""""",0,4.46,Yen On,Kindle Edition,287,2021,2019,,2023/12/16,,,read,,,,2,0
45832962,"The Eminence in Shadow (Light Novel), Volume 1",Daisuke Aizawa,"Aizawa, Daisuke",Touzai,"=""""","=""""",0,4.24,Yen On,Kindle Edition,285,2020,2018,,2023/12/16,,,read,,true,,1,0
